,27
0,-8.524489989123913
1,-0.21542955545378628
2,-8.002820624202748
3,-3.028434818542875
4,-7.287728652098956
5,-4.516079014496338
6,-6.298603944102686
7,-5.84153412556662
8,-5.07463392287919
9,-6.952252479362784
10,-3.6618751912345084
11,-7.808072645680622
12,-2.112910857895072
13,-8.378564852225663
14,-0.4805104883696743
15,-8.644294410930685
16,1.171525490814162
17,-8.59488346720055
18,2.7831122688989187
19,-8.23336843453606
20,4.296178625362496
21,-7.574053650547142
22,5.660083190168999
23,-6.639037640453611
24,6.822287747572717
25,-5.46438134815233
26,7.742056982328952
27,-4.093057800940999
28,8.38899993963873
29,-2.570465086553023
30,8.738471822951617
31,-0.9547466455297849
