,90
0,0.9999999998979915
1,1.0292805984925508
2,1.0456450255077598
3,1.0617733063104628
4,1.0776653851858928
5,1.0933212108351085
6,1.108740735947163
7,1.1239502312273049
8,1.138949658530886
9,1.153765298331661
10,1.1683971197779386
11,1.1828450940876551
12,1.1971091944113283
13,1.2112157140684714
14,1.2251646312510642
15,1.2389559255180125
16,1.2525895776322034
17,1.2660655695223375
18,1.2794102051788452
19,1.2926234699466852
20,1.305679028057206
21,1.3186031874558415
22,1.3314222585223319
23,1.3441099075944074
24,1.3566924470171
25,1.3691435434560133
26,1.3814895110324636
27,1.3937303412068056
28,1.405866025811629
29,1.417896557082442
30,1.4298219276111193
31,1.441642130320615
32,1.4533571584718417
33,1.4649933319267865
34,1.4765243187348787
35,1.4879764398279347
36,1.499349690291929
37,1.5106177380783563
38,1.5218069055222967
39,1.532917188317868
40,1.543948582273963
41,1.5549010834386578
42,1.5657746879402357
43,1.5765693920996704
44,1.5872851923570346
45,1.5979484143314096
46,1.608532726056353
47,1.6190381243796472
48,1.629490935772462
49,1.63986482805395
50,1.6501861282890966
51,1.6604285041053906
52,1.6706182830814427
53,1.6807554631064243
54,1.690813711874859
55,1.7008193570361316
56,1.7107723970138415
57,1.7206728299462817
58,1.7304943228879983
59,1.7402632049746436
60,1.749979474534524
61,1.759643129931908
62,1.7692541695959896
63,1.7788125919839444
64,1.788318395626566
65,1.797771579067184
66,1.807172140908319
67,1.8165464120694605
68,1.825868059175882
69,1.8351370809362202
70,1.8443534760923217
71,1.853517243433364
72,1.862654714579934
73,1.8717395557785708
74,1.8807717658857226
75,1.8897776769551524
76,1.898730954965702
77,1.907657932192933
78,1.9165322744960656
79,1.9253539808839466
80,1.9341493839892978
81,1.942892149413716
82,1.9516086100682133
83,1.9602724313943023
84,1.9689099464843813
85,1.9775211547230427
86,1.9860797214067694
87,1.9946119798972684
88,2.0030915953717194
89,2.0115449013770816
90,2.0199718973725225
91,2.0283462483429435
92,2.0366942881141195
93,2.0450160161878586
94,2.05328509736938
95,2.06152786574086
96,2.06974432081876
97,2.0779344621621454
98,2.0860719543481436
99,2.094183131776152
100,2.1022679940093743
101,2.110326540641941
102,2.118358771242102
103,2.1263646854273723
104,2.1343179474626677
105,2.142244892163733
106,2.150145519169954
107,2.158019828110861
108,2.165867818613259
109,2.173689490348107
110,2.1814848429372145
111,2.189253876058127
112,2.1969965893620356
113,2.20471298252936
114,2.2124030552451894
115,2.220066807178587
116,2.2277042380226795
117,2.2353153474864076
118,2.242900135260103
119,2.250458601042407
120,2.2579907445773926
121,2.2654965655452948
122,2.2729760636936756
123,2.2804292387355587
124,2.2878560904179768
125,2.295256618463152
126,2.302630822641468
127,2.3099787026644147
128,2.317300258303984
129,2.3246218259083453
130,2.3319170687239317
131,2.3391859865210813
132,2.346428579046514
133,2.3536448461123736
134,2.3608347874570104
135,2.367998402877142
136,2.375162029022086
137,2.3822993288840166
138,2.3894103022527218
139,2.396494948930771
140,2.4035532687007484
141,2.410611598429143
142,2.417643600930765
143,2.4246492760095726
144,2.4316286234653077
145,2.4386079803328404
146,2.4455610093059192
147,2.4524877101462716
148,2.459388082716936
149,2.466288464161482
150,2.473162517049146
151,2.4800102411922267
152,2.4868316364234633
153,2.4936530400588155
154,2.500448114515838
155,2.5072168596193185
156,2.513985612808455
157,2.5207280363783773
158,2.527444130214009
159,2.534160231803294
160,2.54085000339217
161,2.547513444824385
162,2.5541768937087794
163,2.5608140122138763
164,2.5674248001889937
165,2.5740355953339193
166,2.5806200597195006
167,2.5871781932197306
168,2.5937363336288337
169,2.6002681429016894
170,2.606773620953104
171,2.6132791056268765
172,2.6197582588608532
173,2.626237418558751
174,2.6326902466354904
175,2.6391167429128215
176,2.645543245436965
177,2.6519434159946513
178,2.6583435926495387
179,2.6647174371470097
180,2.671091287613217
181,2.6774388057225504
182,2.683759991395436
183,2.6900811827901863
184,2.6963760415451037
185,2.7026709059371767
186,2.708939437516733
187,2.7152079745863102
188,2.7214501786843073
189,2.727666049695218
190,2.7338819259958496
191,2.740071469053061
192,2.7462610172830852
193,2.7524242321246493
194,2.758587452001994
195,2.764724338339036
196,2.770861229618743
197,2.7769717872004342
198,2.783082349620595
199,2.789166578186191
200,2.7952508114989545
201,2.801308710812106
202,2.8073666147518135
203,2.813398184563919
204,2.8194297589101263
205,2.82543499897971
206,2.831440243500951
207,2.8374191535888684
208,2.8433980680410293
209,2.8493506479554083
210,2.8553032321173855
211,2.861229481571385
212,2.8671557352529256
213,2.8730819930404943
214,2.8789819159933487
215,2.8848818430012995
216,2.8907554350431592
217,2.8966290310519685
218,2.9024762919773575
219,2.9083235567929298
220,2.914144486405326
221,2.919965419818527
222,2.925760017934161
223,2.9315546197488995
