,209
0,1.0000000040549961
1,1.0061617430891243
2,1.0096807872095939
3,1.0131861410702938
4,1.016684649647821
5,1.0201694645233752
6,1.0236405920745164
7,1.0270980332136037
8,1.0305486198034413
9,1.0339855243004812
10,1.037408734070645
11,1.0408250982375593
12,1.044227778286204
13,1.0476167588302365
14,1.0509988979281675
15,1.0543673468993213
16,1.0577289493202027
17,1.0610768665735286
18,1.0644110863861413
19,1.0677384658834062
20,1.0710521491352178
21,1.0743589882161275
22,1.0776521406230264
23,1.0809384404133942
24,1.0842179038324222
25,1.0874836728886426
26,1.0907425906393824
27,1.0939878288640064
28,1.0972262152527208
29,1.1004509094892685
30,1.1036687601854644
31,1.1068797700924098
32,1.1100770849037576
33,1.1132675519550121
34,1.1164511730081252
35,1.1196211072922237
36,1.122784197007094
37,1.125940440783498
38,1.129082987575092
39,1.1322186844738251
40,1.1353475512101792
41,1.1384695639332165
42,1.14157788664104
43,1.1446793620523632
44,1.147774000227291
45,1.15086177997531
46,1.1539358843274845
47,1.1570031262270617
48,1.160063532366748
49,1.163117088182797
50,1.1661638030656658
51,1.1692036724402224
52,1.1722298484873224
53,1.1752491733886508
54,1.1782616564663955
55,1.181267300147178
56,1.1842660929978388
57,1.1872580401119892
58,1.1902431441797479
59,1.1932213999417256
60,1.1961859603095644
61,1.199143679517883
62,1.2020945594009311
63,1.2050385853718424
64,1.2079757655745416
65,1.210906111317823
66,1.2138296040094658
67,1.2167462308777757
68,1.2196560393441962
69,1.222558993389805
70,1.2254551007743693
71,1.228344362295985
72,1.2312267729081818
73,1.2341023549211645
74,1.2369710690990363
75,1.2398329476285852
76,1.2426879932463464
77,1.2455361742716615
78,1.2483775170824531
79,1.2512120060450238
80,1.2540396683396267
81,1.2568604603628286
82,1.2596812762849705
83,1.2624952298953294
84,1.2653023434148387
85,1.2681026125152342
86,1.2708960349802134
87,1.2736826085404092
88,1.2764623357412002
89,1.27923522044484
90,1.282001266320176
91,1.2847604530075458
92,1.2875196404714666
93,1.2902719906644955
94,1.2930174931545457
95,1.2957561409259106
96,1.2984879518694084
97,1.301212919446107
98,1.303931037126294
99,1.306649151061729
100,1.3093604235868221
101,1.3120648468074225
102,1.3147624229861024
103,1.3174531521897237
104,1.3201438902063183
105,1.3228277837207036
106,1.3255048229206525
107,1.3281750167731448
108,1.3308383688429999
109,1.3335017162143137
110,1.3361582216611365
111,1.3388078807704753
112,1.3414506841761966
113,1.3440934891203193
114,1.3467294725111858
115,1.3493585872917269
116,1.3519808588536457
117,1.3546031350266778
118,1.357218561691784
119,1.3598271414461351
120,1.3624288750586797
121,1.3650306242510206
122,1.367625505317113
123,1.370213550328834
124,1.3727947478611429
125,1.3753759465648443
