,102
0,0.9999998502250993
1,1.004217835728709
2,1.0066329818633004
3,1.0090424515194385
4,1.0114462627529592
5,1.0138443956117555
6,1.0162368644815105
7,1.018623662748472
8,1.0210047919074163
9,1.023380255867603
10,1.0257500523926673
11,1.0281198397903075
12,1.0304839667378138
13,1.0328424210333218
14,1.0351952087127547
15,1.0375423340377588
16,1.0398837815031399
17,1.042219559487572
18,1.0445496698762229
19,1.0468741155180616
20,1.0491928898271394
21,1.0515059932065192
22,1.0538134302129054
23,1.0561151999779048
24,1.058416969373901
25,1.0607130615994302
26,1.0630035013604944
27,1.0652882572040245
28,1.0675673553579248
29,1.0698407806947674
30,1.0721085398037442
31,1.0743706204325052
32,1.0766327208694402
33,1.0788891307627528
34,1.0811398850118519
35,1.0833849618035152
36,1.0856243740389417
37,1.0878637849402089
38,1.0900975234964567
39,1.0923256093315492
40,1.0945480009481563
41,1.0967647415235742
42,1.098975814075844
43,1.1011868806786105
44,1.1033922833486125
45,1.1055920122563152
46,1.1077860731091882
47,1.1099801317861488
48,1.112168531489204
49,1.1143512620668101
50,1.116528308797962
51,1.1187053616836713
52,1.1208767516194487
53,1.123042469781445
54,1.1252025172011495
55,1.1273625648020633
56,1.129516943433905
57,1.1316656685703748
58,1.1338087013547098
59,1.1359517405207782
60,1.1380891163974625
