,46
0,0.9999992145573896
1,1.003619012482101
2,1.005694224127177
3,1.007769436150371
4,1.009839390577855
5,1.0119040996872435
6,1.0139635527420516
7,1.016017751280172
8,1.0180719440932626
9,1.0201208949838834
10,1.022164584778327
11,1.024203024622674
12,1.0262414573924727
13,1.0282746501078195
14,1.03030258672663
15,1.0323252716716635
16,1.0343426951219685
17,1.036360119580911
18,1.0383722905146557
19,1.040379207886126
20,1.0423808726812123
21,1.0443825386041157
22,1.0463789443139104
23,1.0483701144869726
24,1.0503612744766366
25,1.0523471890128295
26,1.0543278373507965
27,1.056303238383158
