,52
0,2.185039477050004
1,0.35834801348778844
2,1.882623142476706
3,1.2335796525085148
4,1.5553643345478165
5,1.655430599089699
6,1.1383394989382623
7,1.9893382039803638
8,0.6551111957239971
9,2.2176159009380942
10,0.132283149355815
11,2.3287789604079157
12,-0.40208132373422134
13,2.31791946906734
14,-0.9200317978540081
15,2.1866963157372767
16,-1.3952064658504346
17,1.9429683631704058
18,-1.804969098654822
19,1.5992437673683642
20,-2.128572333540498
21,1.1740322547168816
22,-2.351577435717484
23,0.6877778509233967
24,-2.463585383912881
25,0.16540416631806337
26,-2.4604863148707032
27,-0.3692517025251631
28,-2.343050386430141
29,-0.8912011723341502
30,-2.1179895763241605
31,-1.3754455757430344
32,-1.7959861861463762
33,-1.801608638482912
34,-1.3919978463206304
35,-2.1511255559222207
36,-0.9243015631727556
37,-2.4092114546749555
38,-0.4135673174117964
39,-2.5653869009501618
40,0.11813109240309765
41,-2.613785369850591
42,0.6496065606035022
43,-2.5529598697299165
44,1.157518168431743
45,-2.3860950601801316
46,1.6212818285762662
47,-2.1209374534673544
48,2.023512798729395
49,-1.768080201120453
50,2.3475238895194623
51,-1.3429546465315092
52,2.5813273430075077
53,-0.862970312002972
54,2.7169845578036234
55,-0.3459071710701669
56,2.749546092695453
57,0.18827535473896506
58,2.6783881570664674
59,0.7178699019045038
60,2.506718481369917
61,1.2244170627875484
62,2.2420458246203614
63,1.6880848450132677
64,1.8940469347539268
65,2.0934698898313324
66,1.4756014559445594
67,2.4261732084928256
68,1.001935913003769
69,2.6746166139944365
70,0.49001752793062686
71,2.830389493246715
72,-0.040648944807875634
73,2.888445786124849
74,-0.5730449523942565
75,2.847799005922462
76,-1.0890563820557326
77,2.710327373966984
78,-1.571411635418761
79,2.4811618603326395
80,-2.004246042210603
81,2.168425786306702
82,-2.373597388561946
83,1.782881661812512
84,-2.6685261956712116
85,1.336187325377125
86,-2.878827188925476
87,0.8441273505760541
88,-2.9982953625314224
89,0.32272790276067054
90,-3.0237321264198784
91,-0.211326068461619
92,-2.9549628832448245
93,-0.7412436083505208
94,-2.794756281026985
95,-1.2506625302247025
96,-2.5478264352158657
97,-1.7254482209337598
98,-2.222625387089763
99,-2.14993591435099
100,-1.8295015137214738
101,-2.5117377430171386
102,-1.3792649176667136
103,-2.8013081729194647
104,-0.8866862292896822
105,-3.0095161954417393
106,-0.36647744221898604
107,-3.130925058559035
108,0.1677144527122091
109,-3.1626938182527486
110,0.6989750091398105
111,-3.1041650043240594
112,1.2137682344806953
113,-2.9571903070697205
114,1.6961620518272784
115,-2.7267038466057314
116,2.1330113288985295
117,-2.4198505392274
118,2.513764674172844
119,-2.04452296818168
120,2.8279910981900205
121,-1.6110124911750279
122,3.0665352665600603
123,-1.1326557955877299
124,3.2240576318700964
125,-0.6211100060681235
126,3.2962893178798094
127,-0.09171641269154975
128,3.281976312406355
129,0.44304778699370273
130,3.181992753348678
131,0.9675363480000858
132,2.9990882792930917
133,1.4698038799457591
134,2.738049165037994
135,1.9369283397778208
136,2.4067825710016093
137,2.355749488858619
138,2.0130481435109036
139,2.7172485998537463
140,1.5668141998405196
141,3.012412420767609
142,1.0792896456656387
143,3.233958235886831
144,0.5643068947550678
145,3.3761675458368576
146,0.033037082336493453
147,3.436499699916261
148,-0.501565018758816
149,3.4136193634557226
150,-1.0265680162001087
151,3.3082220411324186
152,-1.52779660882892
153,3.1237128904162286
154,-1.9951215742025865
155,2.864413066570439
156,-2.41760263953576
157,2.536582691407173
158,-2.7854470766433717
159,2.148039024230768
160,-3.0902227171694774
161,1.707949280456261
162,-3.3250343277801453
163,1.2265960450879152
164,-3.484259309313578
165,0.7168550209140762
166,-3.5653722171137705
167,0.18881870164063477
168,-3.5667517683513132
169,-0.34558934147602505
170,-3.4885811310329347
171,-0.8744130460630188
172,-3.3328151793904914
173,-1.3859329141111476
174,-3.103108542475159
175,-1.868923719255348
176,-2.804707203710097
177,-2.3128953455408783
178,-2.4443071469939697
179,-2.70831181596568
180,-2.029884171764921
181,-3.0467842383408854
182,-1.5704995057317281
183,-3.3212341360028286
184,-1.0760862236169833
185,-3.526024421095073
186,-0.5572217304102284
187,-3.6570560878646705
188,-0.024891688660609902
189,-3.711829532424181
190,0.5097492353924646
191,-3.689470224315548
192,1.0356145564460038
193,-3.5907192458341943
194,1.5419160706323913
195,-3.417889960910821
196,2.0183821930203263
197,-3.174792761794736
198,2.455460277404174
199,-2.8666304563658196
200,2.8444991622795524
201,-2.499867391454204
202,3.1779087453423664
203,-2.082075850299653
204,3.449293991941277
205,-1.621763609903909
206,3.6535614153160436
207,-1.1281867935984375
208,3.786996713011774
209,-0.6111523050799055
210,3.8473965745239798
211,-0.07889141488162661
212,3.8333013031017806
213,0.45637560604310146
214,3.745313684679081
215,0.9843035121097724
216,3.585453890572702
217,1.494808600180553
218,3.357093967597768
219,1.9782587168098178
220,3.064867708492741
221,2.4256496212859187
222,2.714558468120328
223,2.8287646809469114
224,2.311403108683561
225,3.18150681964387
226,1.864334674547976
227,3.476003327450644
228,1.3818302940202727
229,3.707101026404772
230,0.8729172107609193
231,3.870880082549598
232,0.34699490600088717
233,3.9647025878035844
234,-0.18834066959560086
235,3.9871859877483478
236,-0.7214515318872428
237,3.9378180535671485
238,-1.242787890838912
239,3.8178638443564923
240,-1.7431322923754249
241,3.6298373614525907
242,-2.2137587914980847
243,3.3774313379548677
244,-2.6481398961312848
245,3.064136997067462
246,-3.03703557057015
247,2.696612491922731
248,-3.3739335714369547
249,2.281558738541699
250,-3.653311749491992
251,1.8264152826317346
252,-3.8714246721445433
253,1.3372939178169145
254,-4.023718559393276
255,0.8244276280302174
256,-4.107989980785952
257,0.29667941379789853
258,-4.123221910309175
259,-0.23695421067305408
260,-4.0692349817079165
261,-0.7695425571519552
262,-3.947161210927789
263,-1.2901332561057897
264,-3.7594472036845845
265,-1.7901477751241743
266,-3.5085022359223434
